,Title,Studio_Abbreviation,Worldwide_Gross,Domestic_Gross,Domestic_Share,Overseas_Gross,Overseas_Share,Year_x,Genre,IMDB_Score,Metascore,Votes,Subgenre1,Subgrene2,Subgrene3,Actors,Awards,Country,Director,Language,Plot,Poster,Production,Rated,Ratings,Released,Runtime,Writer
229,The Revenant,Fox,533.0,183.6,34.5,349.3,65.5,2015,"Action, Adventure, Biography",8.0,76,609352,Action, Adventure, Biography,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Won 3 Oscars. Another 86 wins & 181 nominations.,"USA, Hong Kong, Taiwan",Alejandro G. Iñárritu,"English, Pawnee, French",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,https://m.media-amazon.com/images/M/MV5BMDE5OWMzM2QtOTU2ZS00NzAyLWI2MDEtOTRlYjIxZGM0OWRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",08 Jan 2016,156 min,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)"
230,Ant-Man,BV,519.3,180.2,34.7,339.1,65.3,2015,"Action, Adventure, Comedy",7.3,64,481925,Action, Adventure, Comedy,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,USA,Peyton Reed,English,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_SX300.jpg,Disney/Marvel,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",17 Jul 2015,117 min,"Edgar Wright (screenplay by), Joe Cornish (screenplay by), Adam McKay (screenplay by), Paul Rudd (screenplay by), Edgar Wright (story by), Joe Cornish (story by), Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)"
231,Hotel Transylvania 2,Sony,474.8,169.7,35.7,305.1,64.3,2015,"Animation, Comedy, Family",6.7,44,91116,Animation, Comedy, Family,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",1 win & 10 nominations.,USA,Genndy Tartakovsky,English,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",https://m.media-amazon.com/images/M/MV5BNThkYmNmYzAtOGI2Ny00ODI4LTgwY2MtZmY3YWMxYTUyYjVjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Sony Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",25 Sep 2015,89 min,"Robert Smigel, Adam Sandler, Todd Durham (based on characters created by)"
232,San Andreas,WB (NL),474.0,155.2,32.7,318.8,67.3,2015,"Action, Adventure, Drama",6.1,43,190148,Action, Adventure, Drama,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Ioan Gruffudd",2 wins & 10 nominations.,USA,Brad Peyton,English,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.",https://m.media-amazon.com/images/M/MV5BNjI4MTgyOTAxOV5BMl5BanBnXkFtZTgwMjQwOTA4NTE@._V1_SX300.jpg,Warner Bros.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",29 May 2015,114 min,"Carlton Cuse (screenplay), Andre Fabrizio (story), Jeremy Passmore (story), Carlton Cuse, Andre Fabrizio"
233,Kingsman: The Secret Service,Fox,414.4,128.3,31.0,286.1,69.0,2015,"Action, Adventure, Comedy",7.7,60,537150,Action, Adventure, Comedy,"Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies",8 wins & 26 nominations.,"UK, USA",Matthew Vaughn,"English, Arabic, Swedish","A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",https://m.media-amazon.com/images/M/MV5BMTkxMjgwMDM4Ml5BMl5BanBnXkFtZTgwMTk3NTIwNDE@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",13 Feb 2015,129 min,"Jane Goldman (screenplay by), Matthew Vaughn (screenplay by), Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)"
234,Mad Max: Fury Road,WB,378.4,153.6,40.6,224.8,59.4,2015,"Action, Adventure, Sci-Fi",8.1,90,768429,Action, Adventure, Sci-Fi,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",Won 6 Oscars. Another 232 wins & 219 nominations.,"Australia, USA",George Miller,"English, Russian","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Warner Bros.,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",15 May 2015,120 min,"George Miller, Brendan McCarthy, Nick Lathouris"
235,The Good Dinosaur,BV,332.2,123.1,37.1,209.1,62.9,2015,"Animation, Adventure, Comedy",6.7,66,90436,Animation, Adventure, Comedy,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",Nominated for 1 Golden Globe. Another 7 wins & 39 nominations.,USA,Peter Sohn,English,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,Disney/Pixar,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",25 Nov 2015,93 min,"Bob Peterson (original concept & development by), Peter Sohn (story by), Erik Benson (story by), Meg LeFauve (story by), Kelsey Mann (story by), Bob Peterson (story by), Meg LeFauve (screenplay by), Peter Hedges (additional screenplay material by), Adrian Molina (additional screenplay material by)"
236,Taken 3,Fox,326.5,89.3,27.3,237.2,72.7,2015,"Action, Thriller",6.0,26,163317,Action, Thriller,,"Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace",3 wins & 2 nominations.,"France, USA, Spain, UK, Germany",Olivier Megaton,"English, Russian","Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name.",https://m.media-amazon.com/images/M/MV5BNjM5MDU3NTY0M15BMl5BanBnXkFtZTgwOTk2ODU2MzE@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",09 Jan 2015,108 min,"Luc Besson, Robert Mark Kamen, Luc Besson (characters), Robert Mark Kamen (based on characters created by)"
237,The SpongeBob Movie: Sponge Out of Water,Par.,325.2,163.0,50.1,162.2,49.9,2015,"Animation, Adventure, Comedy",6.0,62,42838,Animation, Adventure, Comedy,"Antonio Banderas, Eric Bauza, Tim Conway, Eddie Deezen",1 win & 9 nominations.,"USA, South Korea, Australia","Paul Tibbitt, Mike Mitchell",English,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",https://m.media-amazon.com/images/M/MV5BMjYyNDczNTE0MF5BMl5BanBnXkFtZTgwNjkzNDYxMzE@._V1_SX300.jpg,Paramount Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",06 Feb 2015,92 min,"Glenn Berger (screenplay), Jonathan Aibel (screenplay), Stephen Hillenburg (story), Paul Tibbitt (story), Stephen Hillenburg (series ""SpongeBob SquarePants""), Vincent Waller (creative supervision)"
238,Maze Runner: The Scorch Trials,Fox,312.3,81.7,26.2,230.6,73.8,2015,"Action, Sci-Fi, Thriller",6.3,43,198219,Action, Sci-Fi, Thriller,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster",2 wins & 5 nominations.,USA,Wes Ball,English,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",https://m.media-amazon.com/images/M/MV5BMjE3MDU2NzQyMl5BMl5BanBnXkFtZTgwMzQxMDQ3NTE@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",18 Sep 2015,131 min,"T.S. Nowlin (screenplay by), James Dashner (based upon the novel ""The Scorch Trials"" by)"
239,Pitch Perfect 2,Uni.,287.5,184.3,64.1,103.2,35.9,2015,"Comedy, Music",6.4,63,129090,Comedy, Music,,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow",9 wins & 16 nominations.,USA,Elizabeth Banks,"English, German","After a humiliating commando performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",https://m.media-amazon.com/images/M/MV5BMzk4OTM2NzMzNl5BMl5BanBnXkFtZTgwNTAzNDE0NDE@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",15 May 2015,115 min,"Kay Cannon, Mickey Rapkin (based on the book by)"
240,Paddington,W/Dim.,268.0,76.3,28.5,191.8,71.5,2015,"Adventure, Comedy, Family",7.2,77,82976,Adventure, Comedy, Family,"Tim Downie, Madeleine Worrall, Lottie Steer, Geoffrey Palmer",Nominated for 1 BAFTA Film Award. Another 2 wins & 6 nominations.,"UK, France, USA",Paul King,English,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.",https://m.media-amazon.com/images/M/MV5BMTAxOTMwOTkwNDZeQTJeQWpwZ15BbWU4MDEyMTI1NjMx._V1_SX300.jpg,The Weinstein Company,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",16 Jan 2015,95 min,"Paul King, Hamish McColl (screen story by), Paul King (screen story by), Michael Bond (""Paddington Bear"" created by)"
241,The Peanuts Movie,Fox,246.2,130.2,52.9,116.1,47.1,2015,"Animation, Comedy, Drama",7.1,67,38807,Animation, Comedy, Drama,"Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi",Nominated for 1 Golden Globe. Another 1 win & 45 nominations.,USA,Steve Martino,English,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",https://m.media-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_SX300.jpg,20th Century Fox,G,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",06 Nov 2015,88 min,"Craig Schulz (screenplay by), Bryan Schulz (screenplay by), Cornelius Uliano (screenplay by), Charles M. Schulz (based upon the comic strip by)"
242,Pixels,Sony,244.9,78.7,32.2,166.1,67.8,2015,"Action, Comedy, Sci-Fi",5.6,27,118349,Action, Comedy, Sci-Fi,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",4 wins & 9 nominations.,"USA, China, Canada",Chris Columbus,"English, Hindi, Japanese","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",https://m.media-amazon.com/images/M/MV5BMTYxMzM4NDY5N15BMl5BanBnXkFtZTgwNzg1NTI3MzE@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",24 Jul 2015,105 min,"Tim Herlihy (screenplay), Timothy Dowling (screenplay), Tim Herlihy (screen story), Patrick Jean (short film)"
243,Daddy's Home,Par.,242.8,150.4,61.9,92.4,38.1,2015,Comedy,6.2,42,95327,Comedy,,,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",1 win & 4 nominations.,USA,Sean Anders,English,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",https://m.media-amazon.com/images/M/MV5BMTQ0OTE1MTk4N15BMl5BanBnXkFtZTgwMDM5OTk5NjE@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",25 Dec 2015,96 min,"Brian Burns (screenplay), Sean Anders (screenplay), John Morris (screenplay), Brian Burns (story)"
244,Spy,Fox,235.7,110.8,47.0,124.8,53.0,2015,"Action, Comedy, Crime",7.0,75,212085,Action, Comedy, Crime,"Jude Law, Raad Rawi, Melissa McCarthy, Jessica Chaffin",Nominated for 2 Golden Globes. Another 6 wins & 27 nominations.,USA,Paul Feig,"English, French, Italian, German","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",https://m.media-amazon.com/images/M/MV5BNjI5OTQ0MDQxM15BMl5BanBnXkFtZTgwMzcwNjMyNTE@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",05 Jun 2015,119 min,Paul Feig
245,Ted 2,Uni.,216.7,81.5,37.6,135.2,62.4,2015,Comedy,6.3,48,163217,Comedy,,,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth",3 wins & 4 nominations.,USA,Seth MacFarlane,English,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",https://m.media-amazon.com/images/M/MV5BMjEwMDg3MDk1NF5BMl5BanBnXkFtZTgwNjYyODA1NTE@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",26 Jun 2015,115 min,"Seth MacFarlane, Alec Sulkin, Wellesley Wild, Seth MacFarlane (based on characters created by)"
246,Straight Outta Compton,Uni.,201.6,161.2,79.9,40.4,20.1,2015,"Biography, Drama, History",7.9,72,163638,Biography, Drama, History,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.",Nominated for 1 Oscar. Another 27 wins & 40 nominations.,USA,F. Gary Gray,English,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",https://m.media-amazon.com/images/M/MV5BMTA5MzkyMzIxNjJeQTJeQWpwZ15BbWU4MDU0MDk0OTUx._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",14 Aug 2015,147 min,"Jonathan Herman (screenplay), Andrea Berloff (screenplay), S. Leigh Savidge (story), Alan Wenkus (story), Andrea Berloff (story)"
247,The Intern,WB,194.6,75.8,38.9,118.8,61.1,2015,"Comedy, Drama",7.1,51,189223,Comedy, Drama,,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",1 win & 7 nominations.,USA,Nancy Meyers,English,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",https://m.media-amazon.com/images/M/MV5BMTUyNjE5NjI5OF5BMl5BanBnXkFtZTgwNzYzMzU3NjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",25 Sep 2015,121 min,Nancy Meyers
248,Jupiter Ascending,WB,184.0,47.4,25.8,136.6,74.2,2015,"Action, Adventure, Sci-Fi",5.3,40,164996,Action, Adventure, Sci-Fi,"Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne",4 wins & 16 nominations.,"USA, Australia","Lana Wachowski, Lilly Wachowski","English, Russian",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,https://m.media-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",06 Feb 2015,127 min,"Lilly Wachowski, Lana Wachowski"
249,Creed,WB (NL),173.6,109.8,63.2,63.8,36.8,2015,"Drama, Sport",7.6,82,220325,Drama, Sport,,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",Nominated for 1 Oscar. Another 46 wins & 61 nominations.,USA,Ryan Coogler,"English, Spanish","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",https://m.media-amazon.com/images/M/MV5BODg5NDM1MDI4NF5BMl5BanBnXkFtZTgwMzg0MzQxNzE@._V1_SX300.jpg,Warner Bros.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",25 Nov 2015,133 min,"Ryan Coogler (screenplay by), Aaron Covington (screenplay by), Ryan Coogler (story by), Sylvester Stallone (based on characters created by)"
250,Fantastic Four,Fox,168.0,56.1,33.4,111.9,66.6,2015,"Action, Adventure, Drama",4.3,27,138592,Action, Adventure, Drama,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",3 wins & 12 nominations.,"USA, Germany",Tim Story,English,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",https://m.media-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",08 Jul 2005,106 min,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)"
251,Bridge of Spies,BV,165.5,72.3,43.7,93.2,56.3,2015,"Drama, History, Thriller",7.6,81,260129,Drama, History, Thriller,"Mark Rylance, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera",Won 1 Oscar. Another 30 wins & 99 nominations.,"Germany, India, USA",Steven Spielberg,"English, German, Russian","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",https://m.media-amazon.com/images/M/MV5BMjIxOTI0MjU5NV5BMl5BanBnXkFtZTgwNzM4OTk4NTE@._V1_SX300.jpg,Dreamworks Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",16 Oct 2015,142 min,"Matt Charman, Ethan Coen, Joel Coen"
252,The Hateful Eight,Wein.,155.8,54.1,34.7,101.6,65.3,2015,"Crime, Drama, Mystery",7.8,68,425088,Crime, Drama, Mystery,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",Won 1 Oscar. Another 39 wins & 113 nominations.,USA,Quentin Tarantino,"English, Spanish, French","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_SX300.jpg,The Weinstein Company,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",30 Dec 2015,187 min,Quentin Tarantino
253,Goosebumps,Sony,150.2,80.1,53.3,70.1,46.7,2015,"Adventure, Comedy, Family",6.3,60,71641,Adventure, Comedy, Family,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",4 nominations.,"USA, Australia",Rob Letterman,English,"A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",https://m.media-amazon.com/images/M/MV5BMjA1OTUzNTQ5Ml5BMl5BanBnXkFtZTgwODQ4NDkxNjE@._V1_SX300.jpg,Sony Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",16 Oct 2015,103 min,"Darren Lemke (screenplay by), Scott Alexander (story by), Larry Karaszewski (story by), R.L. Stine (based on the ""Goosebumps"" books written by)"
254,The Last Witch Hunter,LG/S,146.9,27.4,18.6,119.6,81.4,2015,"Action, Adventure, Fantasy",6.0,34,84846,Action, Adventure, Fantasy,"Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson",1 nomination.,"USA, China, Canada",Breck Eisner,English,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,https://m.media-amazon.com/images/M/MV5BMjM5Njk5MzYzM15BMl5BanBnXkFtZTgwNzM1Mjk4NjE@._V1_SX300.jpg,Summit Entertainment.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",23 Oct 2015,106 min,"Cory Goodman, Matt Sazama, Burk Sharpless"
255,Trainwreck,Uni.,140.8,110.2,78.3,30.6,21.7,2015,"Comedy, Drama, Romance",6.2,75,120741,Comedy, Drama, Romance,"Colin Quinn, Devin Fabry, Carla Oudin, Amy Schumer",Nominated for 2 Golden Globes. Another 5 wins & 25 nominations.,"USA, Japan",Judd Apatow,"English, Mandarin","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",https://m.media-amazon.com/images/M/MV5BMTQ4MjgwNTMyOV5BMl5BanBnXkFtZTgwMTc1MjI0NDE@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",17 Jul 2015,125 min,Amy Schumer
256,The Big Short,Par.,133.4,70.3,52.7,63.2,47.3,2015,"Biography, Comedy, Drama",7.8,81,303932,Biography, Comedy, Drama,"Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",Won 1 Oscar. Another 37 wins & 79 nominations.,USA,Adam McKay,English,In 2006-7 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,https://m.media-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",23 Dec 2015,130 min,"Charles Randolph (screenplay by), Adam McKay (screenplay by), Michael Lewis (based upon the book by)"
257,Pan,WB,128.4,35.1,27.3,93.3,72.7,2015,"Adventure, Comedy, Family",5.8,36,55360,Adventure, Comedy, Family,"Hugh Jackman, Levi Miller, Garrett Hedlund, Rooney Mara",8 nominations.,"USA, UK, Australia",Joe Wright,English,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.",https://m.media-amazon.com/images/M/MV5BMzk2MDg5MDczMl5BMl5BanBnXkFtZTgwNTE2NjYyNjE@._V1_SX300.jpg,Warner Bros.,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",09 Oct 2015,111 min,"Jason Fuchs, J.M. Barrie (characters)"
258,Magic Mike XXL,WB,122.5,66.0,53.9,56.5,46.1,2015,"Comedy, Drama, Music",5.6,60,48063,Comedy, Drama, Music,"Channing Tatum, Juan Piedrahita, Sharon Blackwood, Alison Faulk",2 wins & 5 nominations.,USA,Gregory Jacobs,English,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",https://m.media-amazon.com/images/M/MV5BNDMyODU3ODk3Ml5BMl5BanBnXkFtZTgwNDc1ODkwNjE@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",01 Jul 2015,115 min,Reid Carolin
